dutch,english
ik,I
je,you
het,It
de,the
dat,that
is,is
een,An
niet,not 
en,and
van,by
wat,what
we,we
in,in
ze,they
hij,he
te,at
zijn,are
op,on
maar,but
er,there
met,of
voor,for
die,that
heb,have
me,me
als,as
was,was
ben,am
om,to
dit,this
mijn,mine
aan,On
u,you
dan,than
n,n
naar,Unpleasant
weet,know
hier,here
zo,Like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want to
hebben,to have
goed,Good
haar,her
nee,no
hoe,how
nu,now
waar,Where
over,about
ook,also
doen,doing
uit,out 
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,bee
al,already
ons,us
had,had
iets,something
daar,there
jullie,you
gaat,go
zal,shall
hebt,have
kom,come
waarom,Why
meer,more
deze,this
moeten,must
laat,leave
kunnen,be able to
dus,so
jou,you
denk,think
wie,Who
alles,everything
echt,Real
doe,do
door,Through
alleen,only
toch,still
zien,to see
weg,road
eens,at sometime
man,man
misschien,maybe
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oké,okay
mee,along
niets,nothing
iemand,someone
komt,comes
toen,when
veel,a lot of
even,even
onze,our
gewoon,Ordinary
weten,to know
komen,to come
nodig,necessary
mensen,people
tot,to
worden,become
zeggen,say
tijd,time
weer,weather
leven,to live
twee,two
net,just
tegen,in return for
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
hou,hold
kijk,look
heel,all
wij,We
altijd,always
mag,may
gedaan,done
dood,dead
zeker,Certainly
af,off
jaar,year
hun,their
wilde,wild
dag,day
allemaal,all
jouw,your
huis,house
dacht,thought
doet,do
vader,father
kunt,can
wacht,guard
zie,see 
vrouw,woman
keer,time
andere,other
zoals,such as
zij,she
dank,thanks
anders,otherwise
geef,give
waren,were
willen,want
zich,himself
bedankt,Thank you
één,An
mr,Mr.
erg,terribly
wilt,want
praten,talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everyone
beter,better
werd,became
moeder,mother
niemand,nobody
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,inside
zitten,to sit
zullen,shall
na,after
helpen,to help
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,solid
elkaar,each other
ging,went
uur,o'clock
klaar,finished
hele,whole
neem,take
leuk,nice
natuurlijk,Naturally
alle,all
god,God
maak,make
lang,long
kwam,came
graag,Please
hé,Hey
toe,to
drie,three
zegt,say
bedoel,mean
deed,did
dingen,things
maakt,makes
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,still
hallo,Hello
houden,keep
vertellen,narrate
ziet,sees
idee,idea
geven,give
achter,behind
geweest,been
blijven,to stay
helemaal,absolutely
mooi,Nice
onder,under
kijken,to look
zag,saw
goede,good  
naam,name
moest,had to
blijf,stay
kun,can
auto,auto
luister,listen
grote,big
lijkt,seems
snel,fast
ooit,ever 
vragen,to ask
paar,pair
wanneer,when
want,because
meneer,sir
nieuwe,new
gebeurd,happened
zorgen,to assure
vriend,friend
beetje,bit
kinderen,children
gek,crazy
hand,hand
vraag,ask
laatste,last
geweldig,great
hadden,had
zelfs,even
enige,only
bang,scared
nemen,to take
samen,together
eten,to eat
zelf,yourself
hoor,hear
geleden,past
staan,to stand
gevonden,found
jongen,boy
denken,think
vandaag,Today
denkt,thinks
beste,best
gezegd,said
thuis,At home
wereld,world
jongens,boys
heen,to
ken,know
hen,them
eerst,first
eigen,own
zoon,son
gelijk,directly
buiten,outside
vertel,tell
morgen,tomorrow
meisje,girl
probleem,problem
alsof,as if
geloof,believe
halen,to fetch 
familie,family
elke,each  
zouden,would
hoop,heap
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,work
verdomme,damn it
horen,to belong
manier,way
zat,fed up
vrienden,friends
precies,precisely
kind,child
hè,Hey
kleine,small
begrijp,understand
wou,wish
geeft,gives
orde,order
houdt,holds
verder,further
vroeg,early
stop,Stop
wachten,to wait
rustig,Calm
hoofd,head
krijg,get
daarom,that's why
gebeurt,happens
soms,sometimes
volgens,according to
dagen,to dawn
vond,found
krijgt,gets
gemaakt,made
kant,side
werkt,works
open,Open
gehad,had
voel,feel
zaak,case
blij,pleased
volgende,next
zoek,search
kans,chance
vanavond,this evening
bel,call
probeer,try
zoeken,to search
oude,old
ding,thing
moment,moment
best,best
tussen,between
plaats,place
pas,fit
gehoord,heard
vijf,five
verteld,told
zet,sets
prima,fine
hulp,staff
stad,city
vindt,finds
brengen,to take
pijn,pain
slecht,bad
geloven,to believe
eruit,out
minuten,minutes
school,school
plan,plan
broer,brother
pak,suit
jezelf,yourself
hoeveel,how many
kamer,room
betekent,means
spreken,speak
juist,correct
heet,is called
soort,kind
haal,fetch
ergens,somewhere
vier,four
gebruiken,to use
ligt,is
blijft,stays
welke,which
proberen,try
dokter,doctor
agent,agent
help,Help
later,later
voordat,before
ogen,eyes
vrij,free
klopt,Correct
gaf,gave
foto,photo
word,word
zodat,so that
dochter,daughter
problemen,problems
plek,place
water,water
kent,knows
week,week
beginnen,begin
praat,talk
eerder,earlier
lk,I
mis,miss
handen,hands
deur,door
baby,baby
bellen,to call
boven,above
groot,big
echte,real
hoeft,need
ie,that
doden,to kill
stoppen,fuses
moeilijk,difficult
dr,Dr.
sinds,since
land,country
spelen,to play
zoveel,so much
hetzelfde,the same
mevrouw,Madam
snap,snap
breng,bring
pakken,to take
druk,Busy
verhaal,story
lekker,Tasty
vrouwen,women
schat,Darling
vergeten,forget
gebeuren,to happen
ervan,of it
kreeg,got
waarschijnlijk,probably
hoi,hi
mogelijk,possible
mooie,nice
bloed,blood
wees,be
nacht,night
nieuws,news
bed,bed
liet,left
lopen,to walk
gelukkig,happy
waarheid,truth
reden,rode
papa,dad
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,concern
dollar,dollar
bezig,busy
voorbij,past
terwijl,while
sta,stand
zaken,business
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,heart
zult,will
duidelijk,clearly
stel,couple
the,the
schiet,shoot
eraan,to it
zes,six
begin,begin
gekomen,arrived
vol,full
vriendin,girlfriend
rond,around
voelt,feels
baas,boss
moord,murder
ander,other
klein,small
fijn,fine
jaren,years
mam,mom
lichaam,body
eerlijk,honestly
gezicht,sight
ver,far
wakker,awake
ouders,parents
zoiets,something like that
leren,to learn
telefoon,telephone
los,loose
per,per
mama,mom
nummer,number
fout,wrong
mogen,to be allowed to
meteen,immediately
slapen,to sleep
zeer,very
dezelfde,same
liefde,love
alstublieft,Please
deel,part 
liggen,lie
erop,on top
vaak,often
vallen,traps
belangrijk,important
sterven,die
oud,old
neer,down
buurt,neighbourhood
langs,by
houd,loves
rest,rest
stond,stood
sir,sir
begrepen,understood
drinken,drinks
team,team
vertelde,told
beneden,downstairs
vergeet,forgets
vooruit,forward
mrs,Mrs.
hoort,belongs
baan,track
dicht,closed
inderdaad,indeed
geval,case
zetten,to make
oorlog,war
mezelf,myself
tijdens,during the day
john,John
maakte,made
kennen,to know
gebruikt,used
oke,okay
geluk,happiness
hey,hey
hield,held
wapen,weapon
kop,head
vertrouwen,to trust
rust,rest
mond,mouth
weken,to soften
elk,each
betalen,pay
anderen,others
neemt,takes
recht,right
nam,name
jack,jacket
kantoor,office
gegeven,datum
ermee,with it
overal,everywhere
eén,An
daarna,then
tweede,second
onderzoek,research
welkom,Welcome
hard,hard
liever,rather
bewijs,proof
vanaf,from
aardig,nice
klootzak,asshole
stuk,piece
woord,word
veranderen,change
zin,sentence
straks,soon
vent,guy
zus,sister
haat,hate
vandaan,from
miss,miss
lieverd,Darling
zichzelf,himself
nieuw,new
ontmoeten,meet
werden,were
allebei,both
minder,fewer
pap,porridge
nergens,nowhere
kwaad,angry
sam,Sam
erin,in it
ervoor,before
kerel,guy
gisteren,yesterday
ontmoet,meet
miljoen,million
ok,OK
film,film
verloren,lost
probeerde,tried
gebeld,called
new,new
antwoord,answer
noemen,to call
informatie,information
boek,book
stil,quiet
kapitein,captain
kwijt,lost
enkel,single
valt,fall
boos,angry
licht,light
geworden,become
pa,dad
persoon,person
konden,could
beschermen,protect
slechte,bad
ziekenhuis,Hopital
gevoel,feeling
gegaan,gone
voorzichtig,carefully
hond,dog
rijden,to ride
eindelijk,finally
gesproken,spoken
meisjes,girls
aarde,Earth
ten,ten
normaal,normal
grappig,funny
heren,Gentlemen
voelen,feel
moordenaar,murderer
mens,man
president,president
nogal,rather
gevangenis,prison
loopt,runs
degene,the one
prachtig,beautiful
hoezo,why
kopen,buy
vechten,to fight
punt,point
vreemd,foreign
trouwen,to marry
contact,contact
verkeerd,wrong
meen,I think
koffie,coffee
verwacht,expected
schip,ship
ziek,sick
plezier,pleasure
einde,end
stap,step
advocaat,lawyer
begint,begins
begon,began
enkele,a few
erbij,there
gang,corridor
gebeurde,happened
heer,gentleman
herinner,remember
jezus,Jesus
opnieuw,again
serieus,serious
zomaar,just like that
pardon,pardon
gevraagd,requested
controle,control
getrouwd,married
daarmee,with that
spel,game
bedoelt,means
perfect,perfect
stellen,ask
juiste,right one
koning,king
beloof,promise
grond,ground
waard,worth
winnen,win
nadat,once
gebruik,usage
naartoe,to
begrijpen,understand
veranderd,changed
acht,eight
he,Hey
gingen,went
kwamen,came
leeft,lives
leg,lay
gekregen,received
langer,longer
verliezen,to lose
vroeger,earlier
lucht,air
wapens,weapons
verlaten,to leave
probeert,tries
dames,ladies
seks,sex
schieten,to shoot
toekomst,future
behalve,except
slim,smart
meest,most
stuur,send
leger,army
woorden,words
zeven,seven
brengt,brings
charlie,Charlie
half,half
hierheen,here
trots,proud
spullen,stuff
geheim,secret
helpt,helps
vraagt,asks
michael,Michael
weinig,few
ongeveer,about
schatje,sweetie
sommige,some
makkelijk,comfortable
kracht,strength
gedood,killed
gestolen,stolen
tenminste,at least
lange,long
ongeluk,accident
frank,frank
zodra,as soon as
werkte,worked
wilden,wild
eet,eat
slechts,only
lief,sweet
nietwaar,isn't it true
relatie,relation
trek,pull
afgelopen,last
val,fall
volgen,to follow
ter,to
voelde,felt
bekend,known
bewijzen,prove
hoef,hoof
via,via
oom,uncle
loop,walk
belde,called
lijken,corpses
sturen,to steer
men,men
slachtoffer,victim
george,George
genomen,taken
maand,month
onzin,nonsense
meid,girl
york,York
erger,worse
idioot,idiot
ziens,goodbye
dienst,employ
erover,about it
feest,party
leek,seemed
vreselijk,terrible
eentje,one
gevaar,danger
wonen,live
grootste,largest
succes,success
vertrekken,to leave
jawel,yes
muziek,music
mocht,should
raar,strange
slaap,sleep
joe,Joe
absoluut,absolute
vorige,previous
ruimte,room
ieder,everyone
schuldig,guilty
goeie,good
begonnen,started
luisteren,listen
sterk,strong
omhoog,upwards
totdat,until
afspraak,appointment
lezen,read
zwarte,black
vanwege,because of
hemel,heaven
tenzij,unless
gisteravond,last night
begrijpt,understands
ene,one
lag,lay
naast,next to
vooral,mainly
fantastisch,fantastic
gered,saved
viel,fell
trouwens,Incidentally
uh,uh
bank,bank
pistool,pistol
noem,name
bedrijf,company
camera,camera
blijkbaar,evidently
woont,lives
verkopen,to sell
beide,both
zolang,as long as
straat,street
mike,Mike
geest,spirit
david,David
vuur,firework
peter,Peter
verkeerde,wrong
moesten,had to
lieve,dear
tom,Tom
geprobeerd,tried
meeste,most
kijkt,looks
stierf,died
